Source,Target,Type,Id,Label,Weight
1568303753115144194,1526334954837143553,Directed,213,,3
1568303753115144194,1641741208266342401,Directed,214,,1
1568303753115144194,1608512145569751042,Directed,215,,1
1568303753115144194,1216997801189691392,Directed,216,,1
1568303753115144194,1706335075,Directed,217,,1
1568303753115144194,808471274255220737,Directed,218,,4
1568303753115144194,1492783710,Directed,219,,4
1568303753115144194,557396412,Directed,220,,6
1568303753115144194,1390743022422401024,Directed,221,,2
1568303753115144194,2762279140,Directed,222,,1
1568303753115144194,1710803437548367872,Directed,223,,1
1568303753115144194,851214088793448450,Directed,224,,10
1568303753115144194,1599809875126751234,Directed,225,,1
1568303753115144194,96951983,Directed,226,,2
1568303753115144194,1239655549,Directed,227,,3
1568303753115144194,1602922377419292672,Directed,228,,2
1568303753115144194,1488075796782751753,Directed,229,,2
1568303753115144194,1583076982442663937,Directed,230,,1
1568303753115144194,1611577290135142402,Directed,231,,3
1568303753115144194,1453987492068212736,Directed,232,,3
1568303753115144194,1506110026993348615,Directed,233,,2
1568303753115144194,1511738306836504581,Directed,234,,3
1568303753115144194,1323765584455192578,Directed,235,,6
1568303753115144194,1345663888789020677,Directed,236,,2
1568303753115144194,1631220001653784576,Directed,237,,60
1568303753115144194,1585282599395758083,Directed,238,,5
1568303753115144194,1591250748754518017,Directed,239,,27
1568303753115144194,1561118056306335744,Directed,240,,1
1568303753115144194,1572563296305426433,Directed,241,,36
1568303753115144194,1578071628491137026,Directed,242,,1
1568303753115144194,1260530095841783809,Directed,243,,9
1568303753115144194,1222773302441148416,Directed,244,,4
1568303753115144194,1589170320241565697,Directed,245,,1
1568303753115144194,746817874002579457,Directed,246,,6
1568303753115144194,1620800608205783041,Directed,247,,1
1568303753115144194,1625234228488159237,Directed,248,,2
1568303753115144194,1598395469868040192,Directed,249,,2
1568303753115144194,1022955628686401536,Directed,250,,2
1568303753115144194,1696062547533684736,Directed,251,,10
1568303753115144194,1298583867801174016,Directed,252,,2
1568303753115144194,1461216523515621376,Directed,253,,1
1568303753115144194,1400883208292610051,Directed,254,,1
1568303753115144194,1585388439087849473,Directed,255,,1
1568303753115144194,2269814823,Directed,256,,7
1568303753115144194,1480423559004672003,Directed,257,,1
1568303753115144194,1044874735811735552,Directed,258,,1
1568303753115144194,874330245037527040,Directed,259,,15
1568303753115144194,1645695880702603266,Directed,260,,1
1568303753115144194,1596897029720096768,Directed,261,,1
1568303753115144194,1690861584510259200,Directed,262,,13
1568303753115144194,1584869744913547267,Directed,263,,1
1568303753115144194,1573790642634989569,Directed,264,,1
1568303753115144194,1603123931627520000,Directed,265,,1
1568303753115144194,1216146263428751361,Directed,266,,11
1568303753115144194,1411423943580389378,Directed,267,,1
1568303753115144194,1666399385016467456,Directed,268,,18
1568303753115144194,1643081243561713670,Directed,269,,1
1568303753115144194,1541356074246209537,Directed,270,,7
1568303753115144194,1284068387103166464,Directed,271,,8
1568303753115144194,1619331066145214466,Directed,272,,1
1568303753115144194,1613674746008174593,Directed,273,,1
1568303753115144194,1643754455354028035,Directed,274,,2
1568303753115144194,1557075393240125443,Directed,275,,3
1568303753115144194,1670611469761925120,Directed,276,,1
1568303753115144194,1662469694962515968,Directed,277,,1
1568303753115144194,1708871023737593856,Directed,278,,1
1568303753115144194,1376505811313254403,Directed,279,,23
1568303753115144194,1504067647335510018,Directed,280,,2
1568303753115144194,1408774528445128707,Directed,281,,12
1568303753115144194,1352269044330721282,Directed,282,,6
1568303753115144194,1589302884100882433,Directed,283,,2
1568303753115144194,1441729982816948230,Directed,284,,3
1568303753115144194,4105891150,Directed,285,,3
1568303753115144194,2555010592,Directed,286,,3
1568303753115144194,958274012081217536,Directed,287,,1
1568303753115144194,1640089515938414592,Directed,288,,2
1568303753115144194,1354380643568922626,Directed,289,,2
1568303753115144194,1220928529090666496,Directed,290,,6
1568303753115144194,1637836225846321155,Directed,291,,1
1568303753115144194,1697196053064261632,Directed,292,,1
1568303753115144194,1727070892839030785,Directed,293,,3
1568303753115144194,1583145612266070016,Directed,294,,4
1568303753115144194,596050685,Directed,295,,1
1568303753115144194,1120377028979462147,Directed,296,,1
1568303753115144194,1404046472908247048,Directed,297,,2
1568303753115144194,1688135722081894400,Directed,298,,2
1568303753115144194,1585938082213367808,Directed,299,,1
1568303753115144194,1570378242493943810,Directed,300,,1
1568303753115144194,1498761925353779200,Directed,301,,1
1568303753115144194,1268983666711171072,Directed,302,,2
1568303753115144194,317177251,Directed,303,,2
1568303753115144194,1721580885923741697,Directed,304,,1
1568303753115144194,1421856984534556689,Directed,305,,1
1568303753115144194,1191466789269471232,Directed,306,,4
1568303753115144194,1435634995,Directed,307,,1
1568303753115144194,1649652938858536961,Directed,308,,1
1568303753115144194,1570945344409665541,Directed,309,,1
1568303753115144194,1591897237638070272,Directed,310,,1
1568303753115144194,1389984802829438976,Directed,311,,1
1568303753115144194,936411354214178816,Directed,312,,3
1568303753115144194,1592818045138997253,Directed,313,,1
1568303753115144194,1186805594285576193,Directed,314,,40
1568303753115144194,1445444813143216140,Directed,315,,70
1568303753115144194,1601499135487754241,Directed,316,,8
1568303753115144194,1639733491611959296,Directed,317,,8
1568303753115144194,1243088479224913921,Directed,318,,3
1568303753115144194,50516018,Directed,319,,2
1568303753115144194,1573188352471625728,Directed,320,,2
1568303753115144194,1540120671338041345,Directed,321,,1
1568303753115144194,1574768749714051073,Directed,322,,2
1568303753115144194,950766802329518080,Directed,323,,1
1568303753115144194,1052660106637266945,Directed,324,,1
1568303753115144194,1653570238225555456,Directed,325,,1
1568303753115144194,1592938318869716995,Directed,326,,2
1568303753115144194,1585024494174969869,Directed,327,,1
1568303753115144194,1439001331361013766,Directed,328,,6
1568303753115144194,1502152758887022593,Directed,329,,1
1568303753115144194,1690345573516275712,Directed,330,,1
1568303753115144194,1027792538512633857,Directed,331,,3
1568303753115144194,1470272320803844097,Directed,332,,1
1568303753115144194,1625079279208878080,Directed,333,,5
1568303753115144194,1498372401989664769,Directed,334,,2
1568303753115144194,1216224241479114752,Directed,335,,1
1568303753115144194,83733620,Directed,336,,1
1568303753115144194,880801993039761408,Directed,337,,1
1568303753115144194,982872801026760704,Directed,338,,1
1568303753115144194,1682882603848806400,Directed,339,,1
1568303753115144194,1603747790773002240,Directed,340,,1
1568303753115144194,1070248436837072896,Directed,341,,1
1568303753115144194,1087816271582937090,Directed,342,,8
1568303753115144194,1337975805109035008,Directed,343,,1
1568303753115144194,1728654283254513664,Directed,344,,1
1568303753115144194,1640829929544720386,Directed,345,,1
1568303753115144194,1396462558673055745,Directed,346,,1
1568303753115144194,1371728288524210177,Directed,347,,1
1568303753115144194,1564600735790415874,Directed,348,,2
1568303753115144194,1721033259646074880,Directed,349,,1
