Source,Target,Type,Id,Label,Weight
1006589239,252007838,Directed,205,,1
1006589239,407476218,Directed,206,,1
1006589239,807182914651877381,Directed,207,,1
1006589239,946806590249848842,Directed,208,,1
1006589239,991910028213972992,Directed,209,,1
1006660512506109954,1578937857045061634,Directed,210,,1
1006777703540895744,1806137098849648641,Directed,211,,1
1006814647,1792650468457340928,Directed,212,,1
1007038787875205120,1188858680147660800,Directed,213,,1
1007038787875205120,1393872093859782662,Directed,214,,1
1007038787875205120,3159341148,Directed,215,,1
1007188051863490560,1638372580464685056,Directed,216,,1
1007701976510091265,1509183631557902336,Directed,217,,1
1007701976510091265,1709211023071223808,Directed,218,,25
1007701976510091265,730244724095754240,Directed,219,,2
1007720822008672258,2502068521,Directed,220,,1
1008286280831193088,900039852334473220,Directed,221,,1
1008329618225598469,1091677359978221568,Directed,222,,1
1008329618225598469,1094620930557517832,Directed,223,,1
1008329618225598469,1133400077999968256,Directed,224,,1
1008329618225598469,1162722851755106304,Directed,225,,1
1008329618225598469,1193634420000993280,Directed,226,,3
1008329618225598469,1196099853723590657,Directed,227,,1
1008329618225598469,1234568599785943050,Directed,228,,2
1008329618225598469,1252845579610124293,Directed,229,,2
1008329618225598469,1269647773307199488,Directed,230,,2
1008329618225598469,1300312006596190211,Directed,231,,1
1008329618225598469,1301455247928365056,Directed,232,,3
1008329618225598469,1301917936341389312,Directed,233,,1
1008329618225598469,1306125103109939200,Directed,234,,1
1008329618225598469,1330141436277370885,Directed,235,,2
1008329618225598469,1339228455653740546,Directed,236,,2
1008329618225598469,1341835770471063553,Directed,237,,1
1008329618225598469,1342230367470837763,Directed,238,,2
1008329618225598469,1393482160431042561,Directed,239,,1
1008329618225598469,1429505115015335942,Directed,240,,1
1008329618225598469,1454945126,Directed,241,,1
1008329618225598469,1468240500192862219,Directed,242,,5
1008329618225598469,1471942467075420172,Directed,243,,1
1008329618225598469,1593612340813086722,Directed,244,,1
1008329618225598469,1606313842484584448,Directed,245,,1
1008329618225598469,1617465622111129600,Directed,246,,3
1008329618225598469,1624682333394595841,Directed,247,,1
1008329618225598469,1643280415401099264,Directed,248,,1
1008329618225598469,1653744499779092481,Directed,249,,5
1008329618225598469,1653888794486099971,Directed,250,,1
