Id,Label,viralcentrality
1.57691e+18,fulooode,0.0
1.57694e+18,RadmanShhram,0.0
1.57698e+18,heidarian63,0.0
1.57701e+18,Alic98210073,0.0
1.57727e+18,Nazanin50015935,0.0
1.57731e+18,Nariiia8927,0.0
1.57737e+18,1500tasvir_list,0.0
1.57741e+18,zazzanone,0.0
1.5759e+18,psychotic_bat,0.0
1.57581e+18,MaryAbtArt,0.0
1.57469e+18,farshadeashour,0.0
1.57539e+18,MarzieAdinezade,0.0
1.5747e+18,imperial_agent3,0.0
1.57473e+18,d_white_rabbit,0.0
1.57474e+18,KafirKish,0.0
1.57477e+18,Tina_tina_7777,0.0
1.57479e+18,__EcceHomo2,0.0
1.57484e+18,rahimy166,0.0
1.57486e+18,E_Aria_N,0.0
1.57514e+18,Roz12307894322,0.0
1.57535e+18,marde_khaaste,0.0
1.57539e+18,BrayeIranam1976,0.0
1.57579e+18,SzabadonMagyar,0.0
1.57551e+18,SvejkSoldat,0.0
1.57559e+18,Nazanin520,0.0
1.57559e+18,nikiferferi,0.0
1.57562e+18,Am1rone2,0.0
1.57562e+18,Action4IR,0.0
1.57563e+18,ReinaRezaie,0.0
1.57568e+18,Heyranjaan,0.0
1.57572e+18,Mahdi67Fafa,0.0
1.57576e+18,n_ara30,0.0
1.57339e+18,punkpater,0.0
1.57338e+18,sss_parisa,0.0
1.57336e+18,Zalzalak15,0.0
1.56564e+18,Aria_is_heree,0.0
1.56112e+18,Sarbaz_Leis4943,0.0
1.56194e+18,dr_ali_shojaei,0.0
1.56213e+18,samanrashnoo,0.0
1.56242e+18,shahii1984,0.0
1.56308e+18,khodanoor_01,0.0
1.56344e+18,hadissabouri,0.0
1.56407e+18,avengingX,0.0
1.56421e+18,_sarinaez_,0.0
1.5646e+18,Ritzyg2000,0.0
1.56846e+18,FunkyMe4Now,0.0
1.56034e+18,RosebudDonKhoan,0.0
1.5694e+18,daneshjo_pishro,0.0
1.5698e+18,simurgh2580,0.0
1.56999e+18,Mr135900,0.0
1.57011e+18,freeGirlfreefem,0.0
1.57038e+18,Delvan_Alireza1,0.0
1.57043e+18,rzhbzdeh,0.0
1.57051e+18,cefalu1500,0.0
1.57052e+18,dindaa777,0.0
1.57067e+18,TorturedUs,0.0
1.56069e+18,3orkh,0.0
1.56025e+18,Shabramz,0.0
1.57115e+18,daryo67111018,0.0
1.55776e+18,Catsillyness,0.0
1.55422e+18,nooresiah,0.0
1.48695e+18,Amir59717159,0.0
1.55589e+18,ahoora004,0.0
1.55591e+18,samiir_909,0.0
1.55622e+18,aaryaansarii,0.0
1.55624e+18,parwaz22,0.0
1.5563e+18,callmeminnnnn,0.0
1.55672e+18,frank_1929,0.0
1.55708e+18,Cyanide_0044,0.0
1.55777e+18,Behrozbenz,0.0
1.55951e+18,JBehieh,0.0
1.5581e+18,callmem0siw,0.0
1.55819e+18,NarrehKhar,0.0
1.55823e+18,msrevolte,0.0
1.55839e+18,laburnum1000,0.0
1.55857e+18,viivienn__,0.0
1.55876e+18,Mahnush19,0.0
1.55878e+18,Tara05397483,0.0
1.55906e+18,Fallah13Fallah,0.0
1.55948e+18,carnfl,0.0
1.57095e+18,Shaghayegh_3,0.0
1.57125e+18,Leo_mahiw,0.0
1.57336e+18,User10ne,0.0
1.573e+18,feri_2023,0.0
1.57261e+18,irandmaa,0.0
1.57261e+18,karenglasercopy,0.0
1.57264e+18,lmshygirl,0.0
1.57267e+18,MntzrSday,0.0
1.57289e+18,freeiranlive,0.0
1.57292e+18,maahiiran,0.0
1.57292e+18,siamak_tadayon,0.0
